longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-119.77,36.81,28,1713,302,663,282,3.567,85500,INLAND
-122.12,37.64,40,432,102,264,77,3.8875,228100,NEAR BAY
-121.95,37.96,18,2739,393,1072,374,6.1436,259500,INLAND
-121.99,37.56,18,5505,1005,2641,971,5.0,269700,<1H OCEAN
-120.55,38.31,18,1411,312,592,230,1.625,94700,INLAND
-122.24,37.77,52,1153,235,481,223,2.6411,241000,NEAR BAY
-119.87,36.79,8,2875,548,1718,551,3.6522,80200,INLAND
-122.09,37.64,36,1885,307,853,271,4.1141,173100,NEAR BAY
-121.78,38.01,19,2688,469,1216,422,4.4491,133900,INLAND
-120.69,38.36,19,3267,614,1252,566,2.7236,109900,INLAND
-122.2,37.78,45,1766,332,869,327,4.5893,163500,NEAR BAY
-121.82,39.75,29,7744,1375,3316,1365,3.0253,111400,INLAND
-119.75,36.8,30,3308,662,1894,648,2.197,74500,INLAND
-122.22,37.77,52,391,128,520,138,1.6471,95000,NEAR BAY
-119.61,36.59,10,2842,620,1443,576,2.2727,92700,INLAND
-122.22,37.81,52,2024,339,756,340,4.072,270100,NEAR BAY
-119.81,36.76,52,1792,352,1049,357,2.4375,57100,INLAND
-119.56,36.7,40,1195,326,1135,315,2.1182,58900,INLAND
-119.68,36.62,31,834,229,616,211,1.6602,61200,INLAND
-120.09,36.19,12,1923,559,2809,535,1.4191,55100,INLAND
-120.72,38.94,10,1604,352,540,190,3.7625,113200,INLAND
-122.05,37.94,22,2105,354,993,365,4.6602,227800,NEAR BAY
-119.77,36.75,39,1287,332,1386,306,1.5227,46900,INLAND
-122.07,37.92,26,3872,739,1629,684,4.4312,225000,NEAR BAY
-124.14,41.95,21,2696,578,1208,494,2.275,122400,NEAR OCEAN
-122.26,37.85,52,2202,434,910,402,3.2031,281500,NEAR BAY
-122.23,37.78,52,472,146,415,126,2.6429,71300,NEAR BAY
-120.01,38.92,25,1758,357,689,278,2.675,104200,INLAND
-121.94,37.53,33,2095,342,941,304,5.761,259600,<1H OCEAN
-121.51,39.97,22,1468,285,611,235,2.3036,73000,INLAND
-119.56,36.71,37,1609,374,1173,344,2.181,59900,INLAND
-122.23,37.84,47,3175,454,1098,485,5.2868,347600,NEAR BAY
-122.13,37.7,43,3046,557,1333,544,3.4583,183700,NEAR BAY
-120.66,38.4,18,2144,420,985,381,3.175,118500,INLAND
-122.06,37.7,37,1893,310,821,315,4.6005,231600,NEAR BAY
-119.64,36.56,34,576,117,363,97,2.0658,92500,INLAND
-122.0,37.54,26,1910,371,852,357,5.8325,298900,<1H OCEAN
-122.18,37.77,27,909,236,396,157,2.0786,97500,NEAR BAY
-120.69,38.44,13,1473,265,597,228,4.2917,121300,INLAND
-122.14,37.71,18,3905,1007,2197,1044,3.6932,166800,NEAR BAY
-122.35,37.96,29,1899,524,1357,443,1.875,97200,NEAR BAY
-119.33,36.89,15,1879,411,755,294,2.0,83300,INLAND
-122.01,37.55,34,2791,495,1276,468,4.9167,256300,NEAR BAY
-122.06,37.99,17,1319,316,384,269,1.8229,137500,NEAR BAY
-121.99,37.58,31,2878,478,1276,485,6.2073,282500,<1H OCEAN
-121.89,38.01,30,4114,743,1994,722,4.2227,134400,INLAND
-122.34,37.94,42,2206,451,989,444,3.125,143900,NEAR BAY
-122.14,37.7,36,1266,228,606,239,3.9702,194100,NEAR BAY
-122.39,38.0,33,44,6,23,11,4.125,212500,NEAR BAY
-119.78,36.75,35,2114,506,2050,474,1.2375,50000,INLAND
-122.12,37.69,10,2227,560,1140,472,2.3973,167300,NEAR BAY
-121.74,39.38,27,2596,435,1100,409,2.3243,85500,INLAND
-122.32,37.97,29,2347,464,1135,490,3.9722,161000,NEAR BAY
-119.74,36.75,47,2236,418,1042,397,2.9545,59600,INLAND
-119.79,36.55,32,1393,276,999,245,2.0216,76800,INLAND
-122.02,37.53,21,4280,673,2216,681,5.7072,242200,NEAR BAY
-121.96,37.53,23,2215,475,1278,492,4.2955,218800,<1H OCEAN
-122.21,37.8,39,2003,500,1109,464,3.0682,156500,NEAR BAY
-119.81,36.72,46,1414,268,902,243,1.5833,56700,INLAND
-121.86,37.66,22,3634,664,1699,640,4.1597,293200,INLAND
-122.12,37.75,28,794,111,329,109,7.6923,329800,NEAR BAY
-122.13,38.02,52,2378,508,940,451,2.9583,166000,NEAR BAY
-122.18,37.75,45,330,76,282,80,4.0469,80700,NEAR BAY
-122.31,37.93,39,2505,371,872,345,5.3433,286500,NEAR BAY
-121.72,38.0,7,7957,1314,4460,1293,4.9618,156500,INLAND
-119.79,36.76,52,2408,498,1361,465,2.1055,61300,INLAND
-120.9,38.2,16,3120,641,1319,526,2.0472,93200,INLAND
-122.19,37.77,52,2329,445,1144,417,3.5114,151200,NEAR BAY
-122.29,37.78,42,1241,309,821,300,1.9427,102200,NEAR BAY
-122.28,37.84,50,2082,492,1131,473,1.6424,108900,NEAR BAY
-122.31,37.91,39,2955,696,1417,682,2.7628,167800,NEAR BAY
-122.12,37.69,35,2681,508,1580,536,4.1042,179100,NEAR BAY
-119.46,36.61,13,1348,258,719,246,3.625,108300,INLAND
-122.02,37.55,33,1325,274,909,267,4.5687,177200,NEAR BAY
-119.72,36.81,28,1651,305,780,309,2.9453,72200,INLAND
-121.72,37.7,17,1671,352,729,252,6.1023,450000,INLAND
-122.13,37.69,34,1131,278,560,237,2.875,161700,NEAR BAY
-122.19,37.79,45,2718,451,1106,454,4.6563,231800,NEAR BAY
-122.07,37.97,20,1705,353,856,341,3.7262,211800,NEAR BAY
-119.85,36.83,15,2563,335,1080,356,6.7181,160300,INLAND
-119.83,36.79,24,3505,819,2098,774,1.9575,67000,INLAND
-124.16,41.74,15,2715,569,1532,530,2.1829,69500,NEAR OCEAN
-122.15,37.69,38,1246,221,637,222,3.6625,184600,NEAR BAY
-121.75,39.4,29,1687,327,864,334,2.4943,81900,INLAND
-119.76,36.83,20,3214,446,1360,463,5.2595,110900,INLAND
-122.23,37.78,52,986,258,1008,255,1.4844,119400,NEAR BAY
-122.2,37.76,37,2680,736,1925,667,1.4097,84600,NEAR BAY
-119.67,36.72,31,843,140,453,149,2.6875,153800,INLAND
-119.69,36.83,28,1868,350,898,329,3.1814,78900,INLAND
-119.99,38.88,17,2807,529,675,251,2.7457,107800,INLAND
-122.27,37.85,47,2077,400,719,326,2.2431,172700,NEAR BAY
-122.21,37.76,52,1420,314,1085,300,1.7546,80600,NEAR BAY
-122.24,38.01,11,3751,565,1949,555,5.7862,269400,NEAR BAY
-119.54,36.61,20,1490,318,1474,326,1.4937,54700,INLAND
-122.04,37.96,20,1143,346,578,298,2.2411,151800,NEAR BAY
-119.78,36.78,37,2185,455,1143,438,1.9784,70700,INLAND
-119.45,36.59,41,1749,342,1171,314,1.6875,66100,INLAND
-122.12,38.01,50,1738,355,837,363,3.609,135700,NEAR BAY
-122.08,37.62,17,2485,518,1139,550,2.6875,157300,NEAR BAY
-122.1,37.65,36,410,76,252,82,4.5303,175000,NEAR BAY
-120.02,38.91,22,2138,493,829,330,2.2056,107200,INLAND
-122.05,37.95,27,3513,791,1875,694,3.1838,182000,NEAR BAY
-122.14,38.01,50,1760,341,741,316,4.5,178300,NEAR BAY
-122.19,37.75,28,856,189,435,162,0.8012,81800,NEAR BAY
-122.08,37.63,35,517,108,391,107,4.0682,156900,NEAR BAY
-120.6,38.76,22,1236,273,615,248,3.0217,106900,INLAND
-122.12,37.81,26,4048,513,1486,498,7.6717,416500,NEAR BAY
-120.21,36.77,20,1745,348,1093,302,2.3194,90600,INLAND
-121.76,37.68,35,1864,357,1189,349,4.2361,177500,INLAND
-119.83,36.78,35,1789,357,933,357,2.5223,66200,INLAND
-122.18,37.81,37,1643,262,620,266,5.4446,336700,NEAR BAY
-122.19,37.76,52,2024,391,1030,350,2.4659,94700,NEAR BAY
-122.14,37.68,31,3184,716,1561,628,2.7955,183100,NEAR BAY
-119.75,36.77,32,1962,399,1005,392,2.6726,70400,INLAND
-122.28,37.86,41,2214,550,1213,568,2.2845,153100,NEAR BAY
-122.16,37.69,36,1118,219,625,228,3.7813,192200,NEAR BAY
-121.94,37.56,15,5674,748,2412,714,8.3996,442900,<1H OCEAN
-119.75,36.78,28,3257,752,1981,712,2.293,71700,INLAND
